Date,Sale_Prices,ZHVI
2009-08-31,126800.0,151400.0
2009-08-31,153400.0,175300.0
2009-08-31,111000.0,121200.0
2009-08-31,231900.0,255600.0
2009-08-31,275900.0,293100.0
2009-08-31,123900.0,120200.0
2009-08-31,127200.0,163900.0
2009-08-31,269900.0,305500.0
2009-08-31,148600.0,146100.0
2009-08-31,145200.0,148400.0
2009-08-31,98600.0,113700.0
2009-08-31,106500.0,89200.0
2009-08-31,213800.0,227800.0
2009-08-31,138600.0,152300.0
2009-08-31,132000.0,133900.0
2009-08-31,112900.0,119100.0
2009-08-31,219900.0,224000.0
2009-08-31,236800.0,256800.0
2009-08-31,100900.0,90300.0
2009-08-31,136500.0,156000.0
2009-08-31,186500.0,208200.0
2009-09-30,134000.0,173400.0
2009-09-30,244900.0,334600.0
2009-09-30,199900.0,211200.0
2009-09-30,217900.0,255700.0
2009-09-30,199400.0,221300.0
2009-09-30,358800.0,345100.0
2009-09-30,128900.0,149800.0
2009-09-30,154600.0,174200.0
2009-09-30,111000.0,121600.0
2009-09-30,231900.0,254300.0
2009-09-30,278100.0,293600.0
2009-09-30,125200.0,120500.0
2009-09-30,125700.0,160400.0
2009-09-30,266500.0,304400.0
2009-09-30,149800.0,145700.0
2009-09-30,144500.0,148500.0
2009-09-30,101500.0,113600.0
2009-09-30,104200.0,89200.0
2009-09-30,211500.0,226600.0
2009-09-30,141200.0,152100.0
2009-09-30,131400.0,133500.0
2009-09-30,113300.0,119000.0
2009-09-30,225700.0,223100.0
2009-09-30,237500.0,255300.0
2009-09-30,97200.0,90100.0
2009-09-30,137700.0,155800.0
2009-09-30,188200.0,207300.0
2009-10-31,134700.0,170700.0
2009-10-31,248900.0,333100.0
2009-10-31,201600.0,211300.0
2009-10-31,220700.0,255500.0
2009-10-31,197400.0,221100.0
2009-10-31,353700.0,344300.0
2009-10-31,128400.0,148600.0
2009-10-31,156200.0,173500.0
2009-10-31,113300.0,121600.0
2009-10-31,238400.0,253100.0
2009-10-31,278100.0,293900.0
2009-10-31,126000.0,121300.0
2009-10-31,127600.0,157400.0
2009-10-31,267100.0,303300.0
2009-10-31,150700.0,145400.0
2009-10-31,140900.0,148900.0
2009-10-31,103900.0,113600.0
2009-10-31,103100.0,89500.0
2009-10-31,210600.0,225600.0
2009-10-31,141100.0,151900.0
2009-10-31,131000.0,133000.0
2009-10-31,114900.0,118800.0
2009-10-31,227200.0,222100.0
2009-10-31,239700.0,254100.0
2009-10-31,94600.0,90300.0
2009-10-31,139700.0,155800.0
2009-10-31,190000.0,206000.0
2009-11-30,136400.0,168200.0
2009-11-30,255400.0,331500.0
2009-11-30,199300.0,210700.0
2009-11-30,226100.0,254700.0
2009-11-30,195400.0,221800.0
2009-11-30,354600.0,343400.0
2009-11-30,129300.0,147200.0
2009-11-30,156200.0,173000.0
2009-11-30,114600.0,121400.0
2009-11-30,234700.0,251700.0
2009-11-30,273100.0,293500.0
2009-11-30,124200.0,121700.0
2009-11-30,129000.0,155000.0
2009-11-30,267000.0,302400.0
2009-11-30,150900.0,145200.0
2009-11-30,138600.0,148500.0
2009-11-30,105500.0,113400.0
2009-11-30,103100.0,89300.0
2009-11-30,210500.0,224900.0
2009-11-30,142700.0,151700.0
2009-11-30,129100.0,132700.0
2009-11-30,115500.0,118600.0
2009-11-30,225000.0,221100.0
2009-11-30,239100.0,253100.0
2009-11-30,97900.0,90700.0
2009-11-30,139900.0,155700.0
2009-11-30,191800.0,205800.0
2009-12-31,135500.0,165000.0
2009-12-31,259400.0,332500.0
2009-12-31,202300.0,212300.0
2009-12-31,232000.0,255500.0
2009-12-31,198100.0,218300.0
2009-12-31,347000.0,347300.0
2009-12-31,129900.0,146400.0
2009-12-31,161800.0,171400.0
2009-12-31,116100.0,120600.0
2009-12-31,234900.0,252000.0
2009-12-31,276400.0,295000.0
2009-12-31,122200.0,122900.0
2009-12-31,129600.0,152700.0
2009-12-31,269700.0,301000.0
2009-12-31,149100.0,144900.0
2009-12-31,139900.0,151500.0
2009-12-31,105400.0,113300.0
2009-12-31,102400.0,90700.0
2009-12-31,212200.0,223700.0
2009-12-31,143400.0,151900.0
2009-12-31,129200.0,131900.0
2009-12-31,114900.0,118500.0
2009-12-31,222700.0,221200.0
2009-12-31,240300.0,252000.0
2009-12-31,100700.0,91000.0
2009-12-31,141900.0,154100.0
2009-12-31,190500.0,204500.0
2010-01-31,135000.0,161300.0
2010-01-31,261000.0,335100.0
2010-01-31,201900.0,215600.0
2010-01-31,238800.0,257300.0
2010-01-31,203900.0,212000.0
2010-01-31,362500.0,354600.0
2010-01-31,129800.0,145800.0
2010-01-31,164700.0,168900.0
2010-01-31,115400.0,119600.0
2010-01-31,235700.0,253000.0
2010-01-31,280400.0,297200.0
2010-01-31,121000.0,124700.0
2010-01-31,130000.0,150200.0
2010-01-31,270900.0,299400.0
2010-01-31,151000.0,144400.0
2010-01-31,144100.0,157100.0
2010-01-31,103000.0,113500.0
2010-01-31,103500.0,93400.0
2010-01-31,213100.0,222000.0
2010-01-31,143500.0,152100.0
2010-01-31,131400.0,130600.0
2010-01-31,114600.0,118300.0
2010-01-31,226900.0,221800.0
2010-01-31,244600.0,251100.0
2010-01-31,101900.0,91000.0
2010-01-31,140400.0,151700.0
2010-01-31,192300.0,202400.0
2010-02-28,134300.0,158900.0
2010-02-28,261400.0,336500.0
2010-02-28,204200.0,217400.0
2010-02-28,244300.0,257200.0
2010-02-28,201500.0,208200.0
2010-02-28,351100.0,358700.0
2010-02-28,129200.0,144900.0
2010-02-28,166300.0,166800.0
2010-02-28,113500.0,119100.0
2010-02-28,237400.0,252600.0
2010-02-28,291400.0,297600.0
2010-02-28,122100.0,125500.0
2010-02-28,131000.0,148600.0
2010-02-28,272600.0,297900.0
2010-02-28,152900.0,143700.0
2010-02-28,147100.0,160500.0
2010-02-28,102100.0,113400.0
2010-02-28,104000.0,94600.0
2010-02-28,212900.0,220300.0
2010-02-28,143200.0,152100.0
2010-02-28,132000.0,129600.0
2010-02-28,113400.0,118000.0
2010-02-28,231500.0,221900.0
2010-02-28,249400.0,250200.0
2010-02-28,95500.0,91100.0
2010-02-28,142700.0,150400.0
2010-02-28,196800.0,200400.0
2010-03-31,135100.0,157800.0
2010-03-31,261300.0,336300.0
2010-03-31,202700.0,216800.0
2010-03-31,248900.0,255500.0
2010-03-31,204500.0,208600.0
2010-03-31,344400.0,359700.0
2010-03-31,127900.0,143400.0
2010-03-31,163900.0,165500.0
2010-03-31,114200.0,119200.0
2010-03-31,236700.0,250800.0
2010-03-31,291700.0,296800.0
2010-03-31,126100.0,125000.0
2010-03-31,131900.0,148000.0
2010-03-31,278900.0,296800.0
2010-03-31,154500.0,143100.0
2010-03-31,143600.0,160100.0
2010-03-31,101500.0,112900.0
2010-03-31,105600.0,94000.0
2010-03-31,213300.0,219000.0
2010-03-31,144100.0,151800.0
2010-03-31,134800.0,129200.0
2010-03-31,114100.0,117700.0
2010-03-31,232200.0,221200.0
2010-03-31,249000.0,249300.0
2010-03-31,93000.0,91000.0
2010-03-31,142000.0,150300.0
2010-03-31,199100.0,199500.0
2010-04-30,135900.0,156600.0
2010-04-30,260300.0,336600.0
2010-04-30,202000.0,216500.0
2010-04-30,244700.0,254900.0
2010-04-30,199300.0,208800.0
2010-04-30,333100.0,362500.0
2010-04-30,127100.0,142300.0
2010-04-30,160000.0,164400.0
2010-04-30,114700.0,119200.0
2010-04-30,232100.0,249700.0
2010-04-30,291900.0,297400.0
2010-04-30,129100.0,124400.0
2010-04-30,133400.0,147000.0
2010-04-30,279500.0,295200.0
2010-04-30,151000.0,142600.0
2010-04-30,145000.0,159800.0
2010-04-30,101700.0,112500.0
2010-04-30,108100.0,94100.0
2010-04-30,210700.0,217900.0
2010-04-30,144500.0,151500.0
2010-04-30,134800.0,128600.0
2010-04-30,114000.0,117400.0
2010-04-30,227500.0,220800.0
2010-04-30,244600.0,248500.0
2010-04-30,90500.0,90700.0
2010-04-30,139800.0,149800.0
2010-04-30,196800.0,198400.0
2010-05-31,134400.0,155400.0
2010-05-31,264000.0,336500.0
2010-05-31,199800.0,215700.0
2010-05-31,233700.0,254100.0
2010-05-31,204200.0,208500.0
2010-05-31,343000.0,365000.0
2010-05-31,125400.0,141200.0
2010-05-31,155900.0,163700.0
2010-05-31,115500.0,119200.0
2010-05-31,227200.0,248600.0
2010-05-31,285200.0,298100.0
2010-05-31,130100.0,123900.0
2010-05-31,134600.0,145800.0
2010-05-31,278100.0,293900.0
2010-05-31,148100.0,142100.0
2010-05-31,144700.0,159000.0
2010-05-31,103000.0,112400.0
2010-05-31,108400.0,94300.0
2010-05-31,207000.0,216600.0
2010-05-31,144100.0,151200.0
2010-05-31,132800.0,128200.0
2010-05-31,115000.0,117000.0
2010-05-31,221600.0,220100.0
2010-05-31,239900.0,247200.0
2010-05-31,96700.0,90300.0
2010-05-31,136100.0,149400.0
2010-05-31,192900.0,197500.0
2010-06-30,133100.0,154200.0
2010-06-30,263800.0,335700.0
2010-06-30,198300.0,214800.0
2010-06-30,225100.0,252800.0
2010-06-30,194300.0,207400.0
2010-06-30,345100.0,365600.0
2010-06-30,124000.0,140100.0
2010-06-30,154700.0,162900.0
2010-06-30,114100.0,119100.0
2010-06-30,219600.0,247300.0
2010-06-30,287100.0,298400.0
2010-06-30,126700.0,123700.0
2010-06-30,135400.0,144500.0
2010-06-30,273100.0,293200.0
2010-06-30,147500.0,141500.0
2010-06-30,149000.0,158800.0
2010-06-30,102900.0,112300.0
2010-06-30,109200.0,94400.0
2010-06-30,202700.0,214500.0
2010-06-30,140100.0,150800.0
2010-06-30,129100.0,127800.0
2010-06-30,113800.0,116700.0
2010-06-30,218200.0,219300.0
2010-06-30,235700.0,245300.0
2010-06-30,99500.0,90200.0
2010-06-30,134200.0,149100.0
2010-06-30,190000.0,197100.0
2010-07-31,130500.0,152700.0
2010-07-31,267200.0,334300.0
2010-07-31,201000.0,214100.0
2010-07-31,224000.0,251600.0
2010-07-31,196400.0,205700.0
2010-07-31,346100.0,365100.0
2010-07-31,120600.0,139000.0
2010-07-31,154900.0,161200.0
2010-07-31,110600.0,118900.0
2010-07-31,209700.0,245900.0
2010-07-31,289000.0,297700.0
2010-07-31,125400.0,124100.0
2010-07-31,131600.0,143100.0
2010-07-31,272300.0,292300.0
2010-07-31,148400.0,141000.0
2010-07-31,148000.0,159000.0
2010-07-31,99100.0,112200.0
2010-07-31,104400.0,94600.0
2010-07-31,203300.0,212200.0
2010-07-31,139100.0,150300.0
2010-07-31,125400.0,127400.0
2010-07-31,110700.0,116300.0
2010-07-31,221600.0,218300.0
2010-07-31,238300.0,243300.0
2010-07-31,97500.0,90600.0
2010-07-31,136300.0,148700.0
2010-07-31,188500.0,197100.0
2010-08-31,129000.0,150600.0
2010-08-31,262400.0,332600.0
2010-08-31,205300.0,213600.0
2010-08-31,233400.0,250400.0
2010-08-31,194200.0,203700.0
2010-08-31,362800.0,364400.0
2010-08-31,117700.0,137800.0
2010-08-31,152900.0,159400.0
2010-08-31,108900.0,118600.0
2010-08-31,204000.0,244300.0
2010-08-31,296000.0,296000.0
2010-08-31,127700.0,123900.0
2010-08-31,129200.0,141800.0
2010-08-31,272100.0,290600.0
2010-08-31,148800.0,140500.0
2010-08-31,152100.0,159100.0
2010-08-31,94600.0,111900.0
2010-08-31,102000.0,94800.0
2010-08-31,204600.0,210000.0
2010-08-31,135900.0,149600.0
2010-08-31,126400.0,126900.0
2010-08-31,109400.0,116000.0
2010-08-31,228300.0,217300.0
2010-08-31,240200.0,241300.0
2010-08-31,92300.0,91100.0
2010-08-31,137700.0,148200.0
2010-08-31,189200.0,197200.0
2010-09-30,127300.0,148200.0
2010-09-30,265500.0,330800.0
2010-09-30,208100.0,213100.0
2010-09-30,235100.0,249400.0
2010-09-30,198600.0,200900.0
2010-09-30,382000.0,363800.0
2010-09-30,114800.0,136200.0
2010-09-30,146000.0,158100.0
2010-09-30,107000.0,118300.0
2010-09-30,203500.0,242600.0
